Toulouse, 0, 97, 80, 0, 15, 30, 150, 3;4, false
Paris, 0, 45, 23, 1, 50, 100, 500, 2;4;6, true
Rouen, 0, 89, 70, 2, 15, 30, 150, 1;4;6, false
Marseille, 0, 50, 55, 3, 15, 30, 150, 0;4;7;12, false
Tours, 0, 82, 94, 4, 15, 30, 150, 0;1;2;3;5;6;7, false
Reims, 0, 45, 22, 5, 15, 30, 150, 4;6;7;14;15, false
Lille, 0, 12, 46, 6, 15, 30, 150, 1;2;4;5;8;15, false
Lyon, 0, 50, 50, 7, 15, 30, 150, 3;4;5;13;14, false
Brussels, 4, 56, 25, 8, 15, 30, 150, 6;15, false
Amsterdam, 4, 42, 13, 9, 15, 30, 150, 15;17, false
Naples, 4, 78, 42, 10, 35, 70, 350, 11, false
Rome, 4, 89, 92, 11, 15, 30, 150, 10;12, false
Milan, 4, 65, 69, 12, 15, 30, 150, 3;11;13;18, false
Bern, 4, 75, 25, 13, 15, 30, 150, 7;12;18;19, false
Nancy, 4, 40, 70, 14, 15, 30, 150, 5;7;15;16;19, false
Rotterdam, 4, 41, 30, 15, 15, 30, 150, 5;8;9;14;16, false
Cologne, 1, 88, 47, 16, 15, 30, 150, 14;15;17;19;20;21, false
Bremen, 1, 44, 62, 17, 15, 30, 150, 9;16;21;22, false
Laibach, 2, 88, 14, 18, 15, 30, 150, 12;13;19;25;24, false
Munich, 1, 57, 103, 19, 15, 30, 150, 13;14;16;18;20;25, false
Nuremberg, 1, 79, 88, 20, 15, 30, 150, 16;19;21;26;31;32, false
Hamburg, 1, 41, 67, 21, 45, 90, 450, 16;17;20;22;26, true
Copenhagen, 1, 22, 85, 22, 15, 30, 150, 17;21, false
Sarajevo, 2, 57, 57, 23, 55, 110, 550, 24;25;28;29;54, true
Agram, 2, 67, 44, 24, 15, 30, 150, 18;23;25, false
Vienna, 2, 114, 59, 25, 15, 30, 150, 18;19;23;24;29;31;30, false
Berlin, 1, 55, 58, 26, 15, 30, 150, 20;21;33;32, false
Athens, 4, 40, 36, 27, 35, 70, 350, 28, false
Uskup, 4, 67, 65, 28, 15, 30, 150, 23;27;35;36;54, false
Budapest, 2, 100, 90, 29, 15, 30, 150, 23;25;30;37;54, false
Kaschau, 2, 130, 60, 30, 15, 30, 150, 25;29;31;32;34;37;40;41, false
Prague, 2, 95, 63, 31, 15, 30, 150, 20;25;30;32, false
Dresden, 1, 104, 58, 32, 15, 30, 150, 20;26;30;31;33;34, false
Kenigsberg, 1, 92, 106, 33, 15, 30, 150, 26;32;34;38, false
Warsaw, 4, 100, 110, 34, 15, 30, 150, 30;32;33;38;39;40, false
Constantinople, 4, 103, 50, 35, 15, 30, 150, 28;36, false
Sofia, 4, 94, 42, 36, 15, 30, 150, 28;35;37;54, false
Bukharest, 4, 158, 166, 37, 15, 30, 150, 29;30;36;41;54, false
Vilna, 3, 81, 86, 38, 10, 20, 100, 33;34;39;44;45, false
Minsk, 3, 73, 48, 39, 10, 20, 100, 34;38;40;42;43;44, false
Kiev, 3, 133, 106, 40, 10, 20, 100, 30;34;39;41;42, false
Odessa, 3, 125, 111, 41, 10, 20, 100, 30;37;40;42;51, false
Kursk, 3, 96, 82, 42, 10, 20, 100, 39;40;41;43;48;50;51, false
Orel, 3, 93, 53, 43, 10, 20, 100, 39;42;47;48;44, false
Smolensk, 3, 72, 56, 44, 10, 20, 100, 38;39;43;45;46;47, false
Riga, 3, 77, 100, 45, 10, 20, 100, 38;44;46, false
Saint-Petersburg, 3, 55, 83, 46, 40, 80, 400, 44;45;47, true
Moscow, 3, 92, 104, 47, 10, 20, 100, 43;44;46;48;49, false
Tula, 3, 76, 110, 48, 10, 20, 100, 42;43;47;49;50, false
Voronezh, 3, 103, 156, 49, 10, 20, 100, 47;48;50;52, false
Kharkof, 3, 92, 204, 50, 10, 20, 100, 42;48;49;51;52, false
Sevastopol, 3, 96, 75, 51, 10, 20, 100, 41;42;50, false
Tzaritzin, 3, 83, 183, 52, 10, 20, 100, 49;50;53, false
Stavropol, 3, 152, 181, 53, 10, 20, 100, 52, false
Belgrade, 4, 58, 38, 54, 15, 30, 150, 23;28;29;36;37, false
